n,threads_per_block,blocks,ms
1024,16,64,0.008192
2048,16,128,0.007168
4096,16,256,0.006336
8192,16,512,0.005184
16384,16,1024,0.004096
32768,16,2048,0.012512
65536,16,4096,0.011136
131072,16,8192,0.011744
262144,16,16384,0.021088
524288,16,32768,0.027456
1048576,16,65536,0.052576
2097152,16,131072,0.096736
4194304,16,262144,0.179072
8388608,16,524288,0.418720
16777216,16,1048576,0.821088
33554432,16,2097152,1.631648
67108864,16,4194304,3.274880
134217728,16,8388608,6.532448
268435456,16,16777216,14.326944
536870912,16,33554432,28.135712
