n,threads_per_block,blocks,ms
1024,512,2,0.007168
2048,512,4,0.006336
4096,512,8,0.006144
8192,512,16,0.005120
16384,512,32,0.003072
32768,512,64,0.010368
65536,512,128,0.006624
131072,512,256,0.007264
262144,512,512,0.005056
524288,512,1024,0.009312
1048576,512,2048,0.012384
2097152,512,4096,0.021120
4194304,512,8192,0.030816
8388608,512,16384,0.291616
16777216,512,32768,0.579904
33554432,512,65536,1.236160
67108864,512,131072,2.555456
134217728,512,262144,5.223712
268435456,512,524288,11.961504
536870912,512,1048576,23.408512
